"ACCESSION_NUMBER","SUBMISSION_TYPE","FILING_DATE","CIK","FILE_NUMBER","PERIOD","ISAMENDMENT","PROGRESSUPDATE","NATUREOFAMENDMENT","NAMEOFISSUER","LEGALSTATUSFORM","LEGALSTATUSOTHERDESC","JURISDICTIONORGANIZATION","DATEINCORPORATION","STREET1","STREET2","CITY","STATEORCOUNTRY","ZIPCODE","ISSUERWEBSITE","COMPANYNAME","COMMISSIONCIK","COMMISSIONFILENUMBER","CRDNUMBER"
"0001665160-18-000079","C",20180131,1720037,"020-23960",NA,0,"","","Aurora Sky Events LLC","Limited Liability Company","","WA","2017-06-06","1504 Aurora Ave N","","Seattle","WA","98109","www.AuroraSkyEvents.com","StartEngine Capital, LLC",1665160,"007-00007",NA
"0001665160-18-000082","C",20180201,1701363,"020-23962",NA,0,"","","anyone Media Network, Inc","Corporation","","WY","2011-10-12","26100 Newport Rd A12,","Suite 133","Menifee","CA","92584","Yayway.com","StartEngine Capital, LLC",1665160,"007-00007",NA
"0001665160-18-000085","C",20180201,1730025,"020-23964",NA,0,"","","ScreenDoor GreenHouse LLC","Limited Liability Company","","ID","2018-01-22","273 Birch Banks","","Sagle","ID","83860","www.screendoor-greenhouse.com","StartEngine Capital, LLC",1665160,"007-00007",NA
"0001665160-18-000090","C",20180201,1720672,"020-23966",NA,0,"","","BOROUGH FIVE SLATE ONE LLC","Limited Liability Company","","DE","2017-01-24","7 NAVY PIER CT UNIT 4064","","STATEN ISLAND","NY","10304","www.boroughfivepictures.com","StartEngine Capital, LLC",1665160,"007-00007",NA
"0001665160-18-000097","C",20180202,1522102,"020-23968",NA,0,"","","ZipZap, Inc.","Corporation","","CA","2010-08-04","21 Orinda Way","#C-260","Orinda","CA","94563","www.zipzap.me","StartEngine Capital, LLC",1665160,"007-00007",NA
"0001665160-18-000113","C",20180220,1731373,"020-23996",NA,0,"","","OSSIC Corporation","Corporation","","DE","2014-08-08","1470 Encinitas Blvd #123","","Encinitas","CA","92024","www.ossic.com","StartEngine Capital, LLC",1665160,"007-00007",NA
"0001665160-18-000117","C",20180221,1623000,"020-24003",NA,0,"","","CannaKorp, Inc.","Corporation","","DE","2014-02-04","74  Maple Street","Suite C","Stoneham","MA","02180","http://www.wispvapor.com","StartEngine Capital, LLC",1665160,"007-00007",NA
"0001665160-18-000123","C",20180222,1730679,"020-24006",NA,0,"","","CBL Worldwide II, Inc.","Corporation","","AZ","2011-04-19","925 W. Baseline Rd.","Suite 105-229","Tempe","AZ","85283","www.cblhoopsusa.com","StartEngine Capital, LLC",1665160,"007-00007",NA
"0001665160-18-000128","C",20180226,1730014,"020-24011",NA,0,"","","FireBot, Inc.","Corporation","","VA","2017-09-01","8816 Hampton Station Ct","","Lorton","VA","22079","www.firebotsuppression.com","StartEngine Capital, LLC",1665160,"007-00007",NA
"0001665160-18-000133","C",20180228,1730789,"020-24015",NA,0,"","","Eliport, Inc.","Corporation","","DE","2017-07-14","Carrer de Roc Boronat, 117","","Barcelona","U3","08018","http://eliport.com","StartEngine Capital, LLC",1665160,"007-00007",NA
"0001665160-18-000136","C",20180228,1731204,"020-24017",NA,0,"","","Three Flip Studios, Inc","Corporation","","DE","2015-02-24","3900 W Alameda","Suite 1200","Burbank","CA","91505","http://www.threeflip.com/","StartEngine Capital, LLC",1665160,"007-00007",NA
"0001665160-18-000142","C",20180301,1722791,"020-24025",NA,0,"","","North Country Showcase Inc","Corporation","","NY","2017-03-22","6100 St Lawrence Centre","","Massena","NY","13662","https://www.northcountryshowcase.com","StartEngine Capital, LLC",1665160,"007-00007",NA
"0001665160-18-000147","C",20180305,1317687,"020-24041",NA,0,"","","LiteScape Technologies, Inc.","Corporation","","CA","2003-10-17","12707 High Bluff Drive","Suite 200","San Diego","CA","92130","http://www.litescape.com","StartEngine Capital, LLC",1665160,"007-00007",NA
"0001665160-18-000170","C",20180305,1733206,"020-24048",NA,0,"","","Eclipse Diagnostics Inc.","Corporation","","DE","2018-02-05","750 North San Vicente Blvd","","West Hollywood","CA","90069","www.eclipsedx.com","StartEngine Capital, LLC",1665160,"007-00007",NA
"0001665160-18-000175","C",20180307,1533905,"020-24051",NA,0,"","","DLYTE, LLC","Limited Liability Company","","CA","2011-07-26","9301 Wilshire Blvd","Suite 613","Beverly Hills","CA","90210","DLYTED.com","StartEngine Capital, LLC",1665160,"007-00007",NA
"0001665160-18-000179","C",20180308,1733314,"020-24058",NA,0,"","","ARTICHOKE, LLC","Limited Liability Company","","MD","2004-03-19","1111 Light Street","4th Floor (Betamore)","Baltimore","MD","21230","https://getartichoke.com/","StartEngine Capital, LLC",1665160,"007-00007",NA
"0001665160-18-000182","C",20180309,1658670,"020-24065",NA,0,"","","Contenders Clothing, Inc.","Corporation","","NV","2018-02-23","4040 Pioneer Avenue Suite 205","","Las Vegas","NV","89102","www.contendersclothing.com","StartEngine Capital, LLC",1665160,"007-00007",NA
"0001665160-18-000185","C",20180312,1731258,"020-24070",NA,0,"","","ElectroniXiQ, Inc.","Corporation","","GA","2015-04-15","88 North Avondale Rd.","#506","Avondale Estates","GA","30002","https://electronixiq.com/","StartEngine Capital, LLC",1665160,"007-00007",NA
"0001665160-18-000188","C",20180312,1699829,"020-24072",NA,0,"","","MAGNABID, INC.","Corporation","","DE","2015-11-19","9735 Wilshire Blvd,","Unit 123","Beverly Hills","CA","90212","www.magnabid.com","StartEngine Capital, LLC",1665160,"007-00007",NA
"0001665160-18-000191","C",20180312,1733032,"020-24074",NA,0,"","","Gyomo, Inc.","Corporation","","DE","2016-03-29","2214 Rock Hill Rd","Suite 270","Herdon","VA","20170","https://www.gyomo.com","StartEngine Capital, LLC",1665160,"007-00007",NA
